,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.677000075431,0.764606657632,0.966216943221,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.6770000754309683, 'MAE': 0.7646066576317031, 'RMSE': 0.96621694322102025}","{'name': 'cosine', 'user_based': True}"
1,0.691425397908,0.749057724873,0.947576503449,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.6914253979078836, 'MAE': 0.74905772487272471, 'RMSE': 0.94757650344885413}","{'name': 'cosine', 'user_based': True}"
2,0.696104873037,0.745368834833,0.942816545351,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.69610487303667512, 'MAE': 0.7453688348332731, 'RMSE': 0.94281654535142889}","{'name': 'cosine', 'user_based': True}"
3,0.696287316923,0.744106386427,0.941328349891,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.69628731692336021, 'MAE': 0.74410638642691818, 'RMSE': 0.94132834989050485}","{'name': 'cosine', 'user_based': True}"
4,0.696560576961,0.743840890061,0.940987760001,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.69656057696084817, 'MAE': 0.74384089006072818, 'RMSE': 0.9409877600011185}","{'name': 'cosine', 'user_based': True}"
5,0.696116308178,0.744027020546,0.941220247716,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.69611630817839809, 'MAE': 0.74402702054575376, 'RMSE': 0.94122024771623614}","{'name': 'cosine', 'user_based': True}"
6,0.696149918377,0.744187223776,0.941512203643,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.69614991837721485, 'MAE': 0.74418722377599988, 'RMSE': 0.94151220364251476}","{'name': 'cosine', 'user_based': True}"
7,0.695370324057,0.744545639603,0.942063219944,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.69537032405708765, 'MAE': 0.74454563960345788, 'RMSE': 0.94206321994444231}","{'name': 'cosine', 'user_based': True}"
8,0.694482243169,0.744819504874,0.942560646195,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.69448224316918727, 'MAE': 0.74481950487443993, 'RMSE': 0.94256064619534619}","{'name': 'cosine', 'user_based': True}"
9,0.694318169334,0.745175767383,0.942910363782,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.69431816933383028, 'MAE': 0.7451757673830024, 'RMSE': 0.94291036378246285}","{'name': 'cosine', 'user_based': True}"
10,0.639719303755,0.788154297032,0.997222401017,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.63971930375488462, 'MAE': 0.78815429703222439, 'RMSE': 0.99722240101749726}","{'name': 'cosine', 'user_based': False}"
11,0.662973083016,0.76383970363,0.966184199968,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.662973083015725, 'MAE': 0.76383970363024134, 'RMSE': 0.96618419996833593}","{'name': 'cosine', 'user_based': False}"
12,0.673181239364,0.754921096707,0.955880978013,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.67318123936409768, 'MAE': 0.75492109670704188, 'RMSE': 0.95588097801347316}","{'name': 'cosine', 'user_based': False}"
13,0.679378283089,0.750499831044,0.950852749485,40,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 40, 'min_k': 5}","{'FCP': 0.67937828308872217, 'MAE': 0.75049983104407769, 'RMSE': 0.95085274948469112}","{'name': 'cosine', 'user_based': False}"
14,0.683418077379,0.748251435403,0.947834739187,50,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 50, 'min_k': 5}","{'FCP': 0.683418077378803, 'MAE': 0.74825143540322592, 'RMSE': 0.9478347391874028}","{'name': 'cosine', 'user_based': False}"
15,0.68619241486,0.746902640216,0.946332702244,60,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 60, 'min_k': 5}","{'FCP': 0.68619241486013782, 'MAE': 0.74690264021582053, 'RMSE': 0.94633270224383426}","{'name': 'cosine', 'user_based': False}"
16,0.687816059034,0.746471538113,0.945757621161,70,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 70, 'min_k': 5}","{'FCP': 0.68781605903392307, 'MAE': 0.74647153811300004, 'RMSE': 0.94575762116050011}","{'name': 'cosine', 'user_based': False}"
17,0.688991388213,0.746290949709,0.945511072833,80,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 80, 'min_k': 5}","{'FCP': 0.68899138821306438, 'MAE': 0.74629094970938592, 'RMSE': 0.94551107283326097}","{'name': 'cosine', 'user_based': False}"
18,0.689355272162,0.746401503693,0.945482669764,90,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 90, 'min_k': 5}","{'FCP': 0.68935527216159487, 'MAE': 0.74640150369335756, 'RMSE': 0.94548266976367068}","{'name': 'cosine', 'user_based': False}"
19,0.690000671932,0.746600637528,0.945552462039,100,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 100, 'min_k': 5}","{'FCP': 0.69000067193161341, 'MAE': 0.74660063752818351, 'RMSE': 0.94555246203941579}","{'name': 'cosine', 'user_based': False}"
20,0.680423800667,0.756673746251,0.95910328654,10,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.68042380066743335, 'MAE': 0.75667374625067196, 'RMSE': 0.95910328654016719}","{'name': 'msd', 'user_based': True}"
21,0.693064534603,0.743518925927,0.942648182579,20,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.69306453460329087, 'MAE': 0.74351892592705726, 'RMSE': 0.94264818257911043}","{'name': 'msd', 'user_based': True}"
22,0.697239692313,0.740405156152,0.93868847548,30,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.69723969231266369, 'MAE': 0.74040515615206548, 'RMSE': 0.93868847548044043}","{'name': 'msd', 'user_based': True}"
23,0.697582101631,0.7394898329,0.937380418895,40,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.69758210163125056, 'MAE': 0.73948983290000825, 'RMSE': 0.93738041889521839}","{'name': 'msd', 'user_based': True}"
