,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.671845829281,0.779529198,0.984007297735,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.67184582928078351, 'MAE': 0.77952919800022191, 'RMSE': 0.98400729773505446}","{'name': 'cosine', 'user_based': True}"
1,0.69049367904,0.762760770196,0.963472361763,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.69049367903959669, 'MAE': 0.76276077019629818, 'RMSE': 0.96347236176330708}","{'name': 'cosine', 'user_based': True}"
2,0.695609979873,0.757534267077,0.957912009526,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.69560997987257334, 'MAE': 0.75753426707659166, 'RMSE': 0.9579120095261956}","{'name': 'cosine', 'user_based': True}"
3,0.697267450395,0.754952135348,0.955437696046,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.69726745039524596, 'MAE': 0.75495213534793648, 'RMSE': 0.95543769604636086}","{'name': 'cosine', 'user_based': True}"
4,0.697535284914,0.753571949681,0.954310565286,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.69753528491371308, 'MAE': 0.75357194968138663, 'RMSE': 0.95431056528639713}","{'name': 'cosine', 'user_based': True}"
5,0.697511485404,0.753192270913,0.954158763141,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.69751148540377406, 'MAE': 0.75319227091327268, 'RMSE': 0.9541587631408559}","{'name': 'cosine', 'user_based': True}"
6,0.697263651438,0.75291788302,0.954105898047,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.69726365143803304, 'MAE': 0.75291788301954532, 'RMSE': 0.9541058980474485}","{'name': 'cosine', 'user_based': True}"
7,0.696444698924,0.75267744182,0.954149591871,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.69644469892377681, 'MAE': 0.75267744181961116, 'RMSE': 0.95414959187056669}","{'name': 'cosine', 'user_based': True}"
8,0.696545592233,0.752733604893,0.954358168924,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.69654559223302048, 'MAE': 0.75273360489300789, 'RMSE': 0.95435816892369518}","{'name': 'cosine', 'user_based': True}"
9,0.695571734854,0.75291885062,0.954808062806,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.69557173485362289, 'MAE': 0.75291885061974884, 'RMSE': 0.9548080628057809}","{'name': 'cosine', 'user_based': True}"
