,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.672736699696,0.779957384684,0.98999754446,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.6727366996962838, 'MAE': 0.77995738468383813, 'RMSE': 0.98999754445962029}","{'name': 'cosine', 'user_based': True}"
1,0.690214519681,0.76037479926,0.965408518376,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.69021451968050351, 'MAE': 0.76037479925995122, 'RMSE': 0.96540851837578978}","{'name': 'cosine', 'user_based': True}"
2,0.6969953503,0.754102412452,0.957797111213,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.69699535029966353, 'MAE': 0.75410241245215803, 'RMSE': 0.95779711121266797}","{'name': 'cosine', 'user_based': True}"
3,0.699770944056,0.751467851036,0.954767683591,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.69977094405640683, 'MAE': 0.75146785103599301, 'RMSE': 0.95476768359147246}","{'name': 'cosine', 'user_based': True}"
4,0.699711569176,0.749931012678,0.953313193764,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.69971156917598021, 'MAE': 0.749931012677717, 'RMSE': 0.95331319376398471}","{'name': 'cosine', 'user_based': True}"
5,0.699691346731,0.749221058106,0.952724360639,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.69969134673142097, 'MAE': 0.74922105810623973, 'RMSE': 0.95272436063930588}","{'name': 'cosine', 'user_based': True}"
6,0.699323477482,0.749078450318,0.952744423987,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.69932347748183998, 'MAE': 0.74907845031812814, 'RMSE': 0.95274442398725068}","{'name': 'cosine', 'user_based': True}"
7,0.69908836226,0.749014882432,0.952933181908,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.69908836226004056, 'MAE': 0.74901488243194647, 'RMSE': 0.95293318190784115}","{'name': 'cosine', 'user_based': True}"
8,0.698809809268,0.749238548873,0.953448772186,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.69880980926796687, 'MAE': 0.74923854887275576, 'RMSE': 0.95344877218621493}","{'name': 'cosine', 'user_based': True}"
9,0.697927291954,0.74951002565,0.954036015942,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.69792729195379588, 'MAE': 0.74951002564950908, 'RMSE': 0.95403601594220788}","{'name': 'cosine', 'user_based': True}"
10,0.672362894332,0.771299564639,0.98325820565,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.67236289433160168, 'MAE': 0.77129956463857563, 'RMSE': 0.98325820565026623}","{'name': 'cosine', 'user_based': False}"
11,0.689651895124,0.75154874766,0.957850451838,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.68965189512391289, 'MAE': 0.75154874765968649, 'RMSE': 0.95785045183830309}","{'name': 'cosine', 'user_based': False}"
12,0.696797516406,0.744853283155,0.948781647254,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.6967975164058704, 'MAE': 0.74485328315519284, 'RMSE': 0.94878164725397762}","{'name': 'cosine', 'user_based': False}"
