,Dataset,MAE,Precision,RMSE,Recall,Running_Time,User-based?,k,Running_Time_Minutes
0,100k,0.721295141,0.592269371,0.919996644,0.29369262,0 days 00:00:31.658000000,TRUE,30,0.527633333
1,100k,0.721057184,0.58338534,0.919231259,0.294877158,0 days 00:00:33.781000000,TRUE,40,0.563016667
2,100k,0.721269007,0.589847657,0.919590386,0.296830576,0 days 00:00:35.519000000,TRUE,50,0.591983333
3,100k,0.721407037,0.59130475,0.919358358,0.292571113,0 days 00:00:35.633000000,TRUE,60,0.593883333
4,100k,0.72127104,0.591479434,0.918790127,0.297972744,0 days 00:00:36.402000000,TRUE,70,0.6067
5,100k,0.717677505,0.610282098,0.915463487,0.283593397,0 days 00:00:38.468000000,FALSE,30,0.641133333
6,100k,0.718291749,0.604629669,0.91550115,0.289989316,0 days 00:00:40.377000000,FALSE,40,0.67295
7,100k,0.718496863,0.61381343,0.915136418,0.28853204,0 days 00:00:41.566000000,FALSE,50,0.692766667
8,100k,0.718576079,0.621577359,0.914865652,0.288813802,0 days 00:00:42.638000000,FALSE,60,0.710633333
9,100k,0.719142963,0.611415943,0.91569576,0.283742217,0 days 00:00:43.633000000,FALSE,70,0.727216667
10,250k,0.693387958,0.668906334,0.884993685,0.408727879,0 days 00:03:28.607000000,TRUE,30,3.476783333
11,250k,0.692809632,0.669562407,0.883978095,0.413817938,0 days 00:03:35.928000000,TRUE,40,3.5988
12,250k,0.693171999,0.66428388,0.883938579,0.40839884,0 days 00:05:14.760000000,TRUE,50,5.246
13,250k,0.693176343,0.669383218,0.883655533,0.408808013,0 days 00:06:17.980000000,TRUE,60,6.299666667
14,250k,0.693985307,0.670707215,0.884346681,0.412508951,0 days 00:06:26.595000000,TRUE,70,6.44325
15,250k,0.68781336,0.68469293,0.878163199,0.394335096,0 days 00:02:53.948000000,FALSE,30,2.899133333
16,250k,0.688633907,0.682696744,0.878092131,0.39132581,0 days 00:03:01.464000000,FALSE,40,3.0244
17,250k,0.688562335,0.684882928,0.878331511,0.393497274,0 days 00:03:08.101000000,FALSE,50,3.135016667
18,250k,0.689333643,0.684413491,0.878695483,0.395570898,0 days 00:02:48.265000000,FALSE,60,2.804416667
19,250k,0.689919527,0.684622202,0.879159374,0.391660953,0 days 00:03:20.843000000,FALSE,70,3.347383333
20,500k,0.685167384,0.666488517,0.874497166,0.349948543,0 days 00:16:24.046000000,TRUE,30,16.40076667
21,500k,0.684341644,0.66796623,0.873061433,0.346900528,0 days 00:16:45.830000000,TRUE,40,16.76383333
22,500k,0.684321291,0.665958944,0.872802514,0.351097262,0 days 00:17:09.270000000,TRUE,50,17.1545
23,500k,0.684914649,0.663617033,0.873225982,0.35120268,0 days 00:17:33.640000000,TRUE,60,17.56066667
24,500k,0.685216846,0.66738814,0.873236971,0.352401535,0 days 00:17:55.644000000,TRUE,70,17.9274
25,500k,0.676796147,0.685029591,0.864465078,0.329385276,0 days 00:07:02.237000000,FALSE,30,7.037283333
26,500k,0.677758601,0.684133337,0.865011935,0.330856985,0 days 00:07:21.751000000,FALSE,40,7.362516667
27,500k,0.678971292,0.687232457,0.865902687,0.331122855,0 days 00:07:38.984000000,FALSE,50,7.649733333
28,500k,0.679343505,0.688977936,0.86626478,0.330384057,0 days 00:07:52.870000000,FALSE,60,7.881166667
29,500k,0.679941963,0.689281919,0.866778463,0.332360495,0 days 00:08:06.793000000,FALSE,70,8.113216667
30,750k,0.681214739,0.676710012,0.869452294,0.300928262,0 days 00:27:19.228000000,TRUE,30,27.32046667
31,750k,0.680376409,0.674202502,0.867915412,0.304571523,0 days 00:27:59.861000000,TRUE,40,27.99768333
32,750k,0.680895312,0.67937047,0.868241886,0.304644448,0 days 00:28:42.394000000,TRUE,50,28.70656667
33,750k,0.68116482,0.675361581,0.868171438,0.305144864,0 days 00:29:33.368000000,TRUE,60,29.55613333
34,750k,0.681474561,0.675217434,0.86848305,0.305106593,0 days 00:29:53.011000000,TRUE,70,29.88351667
35,750k,0.672136397,0.697416394,0.858000495,0.290291518,0 days 00:11:29.819000000,FALSE,30,11.49698333
36,750k,0.673796379,0.696238945,0.859442242,0.292649479,0 days 00:11:59.271000000,FALSE,40,11.98785
37,750k,0.674644079,0.697643646,0.859898221,0.293078295,0 days 00:12:26.573000000,FALSE,50,12.44288333
38,750k,0.675512714,0.696254641,0.860735388,0.294572465,0 days 00:12:51.178000000,FALSE,60,12.85296667
39,750k,0.67631959,0.697480023,0.861407737,0.291193725,0 days 00:13:11.529000000,FALSE,70,13.19215
40,1M,0.680666214,0.675127785,0.869593009,0.241169168,0 days 00:37:29.565000000,TRUE,30,37.49275
41,1M,0.679995679,0.67806209,0.868392601,0.241842918,0 days 00:38:49.663000000,TRUE,40,38.82771667
42,1M,0.679981482,0.676376721,0.868032047,0.244912518,0 days 00:39:27.308000000,TRUE,50,39.45513333
43,1M,0.680723213,0.67608808,0.868483107,0.243597388,0 days 00:40:13.181000000,TRUE,60,40.21968333
44,1M,0.681161849,0.675215153,0.868757952,0.246562385,0 days 00:40:27.039000000,TRUE,70,40.45065
45,1M,0.671138884,0.695901951,0.857146423,0.234120639,0 days 00:16:13.826000000,FALSE,30,16.23043333
46,1M,0.672509022,0.6986414,0.858268165,0.232405308,0 days 00:16:49.565000000,FALSE,40,16.82608333
47,1M,0.673871123,0.698393022,0.859576203,0.232333531,0 days 00:17:09.328000000,FALSE,50,17.15546667
48,1M,0.674710081,0.694879481,0.860182207,0.234100474,0 days 00:17:21.571000000,FALSE,60,17.35951667
49,1M,0.675496318,0.696777096,0.860992214,0.236126487,0 days 00:17:33.682000000,FALSE,70,17.56136667
