,RMSE,bsl_options,params,scores
0,0.9427024157558954,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 10}}","{'RMSE': 0.94270241575589542, 'MAE': 0.73720653739487618, 'FCP': 0.65286660901408522}"
1,0.9242419488445224,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 20}}","{'RMSE': 0.92424194884452238, 'MAE': 0.71828780388377855, 'FCP': 0.6542619499179696}"
2,0.9055846324413176,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 50}}","{'RMSE': 0.90558463244131759, 'MAE': 0.70095876147893554, 'FCP': 0.65849840981740582}"
3,0.8971635338989076,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.001, 'n_epochs': 100}}","{'RMSE': 0.89716353389890757, 'MAE': 0.69315890035362471, 'FCP': 0.66272811933750331}"
4,0.9060194657549024,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 10}}","{'RMSE': 0.90601946575490244, 'MAE': 0.70083195249689367, 'FCP': 0.65827653369546713}"
5,0.8975928289645931,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 20}}","{'RMSE': 0.89759282896459314, 'MAE': 0.69310924259719797, 'FCP': 0.66278159210681031}"
6,0.8943363705735285,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 50}}","{'RMSE': 0.89433637057352855, 'MAE': 0.68943140692725102, 'FCP': 0.66568571677316934}"
7,0.8967389391815775,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.005, 'n_epochs': 100}}","{'RMSE': 0.89673893918157754, 'MAE': 0.69047818187470911, 'FCP': 0.66579153968188753}"
8,0.8984707738454223,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.01, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.01, 'n_epochs': 10}}","{'RMSE': 0.89847077384542229, 'MAE': 0.69351480902301843, 'FCP': 0.66249957045920027}"
9,0.8952589584279356,"{'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.01, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.01, 'learning_rate': 0.01, 'n_epochs': 20}}","{'RMSE': 0.89525895842793557, 'MAE': 0.69020260991451921, 'FCP': 0.66488964656068195}"
