,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.65147342748,0.694409760878,0.901759270802,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.6514734274796925, 'MAE': 0.69440976087764528, 'RMSE': 0.90175927080198637}","{'name': 'cosine', 'user_based': True}"
1,0.657167969483,0.686048857792,0.892278005908,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.65716796948277367, 'MAE': 0.68604885779244951, 'RMSE': 0.89227800590811202}","{'name': 'cosine', 'user_based': True}"
2,0.658103170776,0.684369137627,0.890706582909,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.65810317077613989, 'MAE': 0.68436913762722662, 'RMSE': 0.89070658290904015}","{'name': 'cosine', 'user_based': True}"
3,0.657653465533,0.684102288602,0.890520543622,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.65765346553294446, 'MAE': 0.68410228860200617, 'RMSE': 0.89052054362194577}","{'name': 'cosine', 'user_based': True}"
4,0.657558120041,0.68438273625,0.890890956101,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.65755812004110559, 'MAE': 0.68438273625022028, 'RMSE': 0.89089095610101976}","{'name': 'cosine', 'user_based': True}"
5,0.657195658563,0.684637261736,0.891206933682,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.65719565856302442, 'MAE': 0.68463726173604522, 'RMSE': 0.89120693368203463}","{'name': 'cosine', 'user_based': True}"
6,0.656455420395,0.684975336422,0.891576547043,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.65645542039523919, 'MAE': 0.68497533642237518, 'RMSE': 0.89157654704287947}","{'name': 'cosine', 'user_based': True}"
7,0.656277820795,0.68515939104,0.89182454255,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.65627782079543118, 'MAE': 0.68515939103967938, 'RMSE': 0.8918245425495902}","{'name': 'cosine', 'user_based': True}"
8,0.656276741189,0.685427612864,0.892146740371,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.6562767411886401, 'MAE': 0.68542761286356213, 'RMSE': 0.89214674037120711}","{'name': 'cosine', 'user_based': True}"
9,0.65606143216,0.685650965425,0.892426417478,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.65606143215991775, 'MAE': 0.68565096542496118, 'RMSE': 0.89242641747771079}","{'name': 'cosine', 'user_based': True}"
10,0.605791945382,0.729705522046,0.94407424975,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.60579194538179237, 'MAE': 0.72970552204564776, 'RMSE': 0.94407424974959897}","{'name': 'cosine', 'user_based': False}"
11,0.621819746461,0.712027011673,0.921727192831,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.62181974646067684, 'MAE': 0.71202701167299964, 'RMSE': 0.9217271928306825}","{'name': 'cosine', 'user_based': False}"
12,0.629532764867,0.70409229768,0.912156886675,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.62953276486655685, 'MAE': 0.70409229768020309, 'RMSE': 0.91215688667546446}","{'name': 'cosine', 'user_based': False}"
