,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.60798051865,0.774825127594,1.00397783497,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.6079805186495465, 'MAE': 0.77482512759392885, 'RMSE': 1.0039778349724788}","{'name': 'cosine', 'user_based': True}"
1,0.611140969029,0.764712983013,0.990541296463,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.61114096902918202, 'MAE': 0.76471298301276847, 'RMSE': 0.99054129646302491}","{'name': 'cosine', 'user_based': True}"
2,0.610736119649,0.763353054142,0.98788668654,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.61073611964877217, 'MAE': 0.76335305414243859, 'RMSE': 0.98788668654045586}","{'name': 'cosine', 'user_based': True}"
3,0.609257417282,0.763616269966,0.987153474713,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.60925741728153271, 'MAE': 0.76361626996568377, 'RMSE': 0.98715347471322334}","{'name': 'cosine', 'user_based': True}"
4,0.60978995305,0.764146706895,0.987011632067,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.60978995304981609, 'MAE': 0.76414670689549991, 'RMSE': 0.98701163206671938}","{'name': 'cosine', 'user_based': True}"
5,0.609102210088,0.764725351458,0.987189204202,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.60910221008820575, 'MAE': 0.76472535145815634, 'RMSE': 0.98718920420181333}","{'name': 'cosine', 'user_based': True}"
6,0.608669996192,0.765232743338,0.987326483868,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.60866999619164797, 'MAE': 0.76523274333789382, 'RMSE': 0.98732648386774768}","{'name': 'cosine', 'user_based': True}"
7,0.608505035009,0.765824168782,0.987607335875,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.6085050350086757, 'MAE': 0.76582416878238568, 'RMSE': 0.98760733587451544}","{'name': 'cosine', 'user_based': True}"
8,0.608196823332,0.766371044586,0.987973419295,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.60819682333205471, 'MAE': 0.76637104458633343, 'RMSE': 0.98797341929501192}","{'name': 'cosine', 'user_based': True}"
9,0.607831145552,0.76673705957,0.98814730713,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.60783114555223783, 'MAE': 0.76673705957029381, 'RMSE': 0.98814730712950483}","{'name': 'cosine', 'user_based': True}"
10,0.445527780467,0.81696377517,1.04682340847,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.44552778046665509, 'MAE': 0.81696377517047447, 'RMSE': 1.0468234084670898}","{'name': 'cosine', 'user_based': False}"
11,0.45560958715,0.789980775673,1.01375594686,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.45560958715004868, 'MAE': 0.78998077567312719, 'RMSE': 1.0137559468599844}","{'name': 'cosine', 'user_based': False}"
12,0.457319235367,0.778487820244,1.00005912204,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.45731923536674601, 'MAE': 0.77848782024440288, 'RMSE': 1.0000591220433377}","{'name': 'cosine', 'user_based': False}"
13,0.462047489325,0.771414150886,0.992209269578,40,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 40, 'min_k': 5}","{'FCP': 0.46204748932476275, 'MAE': 0.77141415088598986, 'RMSE': 0.99220926957803157}","{'name': 'cosine', 'user_based': False}"
14,0.466875381446,0.767073946998,0.987239561587,50,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 50, 'min_k': 5}","{'FCP': 0.46687538144616403, 'MAE': 0.76707394699786779, 'RMSE': 0.98723956158728021}","{'name': 'cosine', 'user_based': False}"
15,0.471361306301,0.764373252357,0.984166181895,60,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 60, 'min_k': 5}","{'FCP': 0.47136130630100459, 'MAE': 0.76437325235747444, 'RMSE': 0.98416618189535165}","{'name': 'cosine', 'user_based': False}"
16,0.475631798148,0.762090646057,0.981601718357,70,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 70, 'min_k': 5}","{'FCP': 0.47563179814839052, 'MAE': 0.76209064605746346, 'RMSE': 0.98160171835715138}","{'name': 'cosine', 'user_based': False}"
17,0.477505862155,0.760532061592,0.979828537865,80,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 80, 'min_k': 5}","{'FCP': 0.47750586215529001, 'MAE': 0.76053206159212827, 'RMSE': 0.97982853786507085}","{'name': 'cosine', 'user_based': False}"
18,0.480104440817,0.759503526507,0.97854211377,90,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 90, 'min_k': 5}","{'FCP': 0.48010444081716352, 'MAE': 0.75950352650687802, 'RMSE': 0.97854211376977795}","{'name': 'cosine', 'user_based': False}"
19,0.483081107029,0.758461411595,0.97732804438,100,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 100, 'min_k': 5}","{'FCP': 0.48308110702932561, 'MAE': 0.75846141159528047, 'RMSE': 0.97732804437997101}","{'name': 'cosine', 'user_based': False}"
20,0.611045647792,0.73761629023,0.961029676452,10,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.61104564779224424, 'MAE': 0.73761629022969544, 'RMSE': 0.96102967645220794}","{'name': 'msd', 'user_based': True}"
21,0.613654132051,0.736162388813,0.958009361575,20,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.61365413205108199, 'MAE': 0.73616238881286677, 'RMSE': 0.95800936157527816}","{'name': 'msd', 'user_based': True}"
22,0.613575442151,0.739126953257,0.960509443621,30,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.61357544215101922, 'MAE': 0.73912695325659861, 'RMSE': 0.96050944362100155}","{'name': 'msd', 'user_based': True}"
