,RMSE,k,params,scores
0,0.9369962341847178,10,{'k': 10},"{'RMSE': 0.93699623418471778, 'MAE': 0.72164567176595296, 'FCP': 0.64521069390099084}"
1,0.927337370038494,20,{'k': 20},"{'RMSE': 0.92733737003849404, 'MAE': 0.71241987964847098, 'FCP': 0.65137085503420578}"
2,0.9255976224388851,30,{'k': 30},"{'RMSE': 0.9255976224388851, 'MAE': 0.71021421314368416, 'FCP': 0.65267954753661905}"
3,0.9254637332978624,40,{'k': 40},"{'RMSE': 0.92546373329786236, 'MAE': 0.70993790429553039, 'FCP': 0.65251131304851051}"
4,0.9255707236120676,50,{'k': 50},"{'RMSE': 0.9255707236120676, 'MAE': 0.70989527131474606, 'FCP': 0.65250754026706748}"
5,0.9257599337373332,60,{'k': 60},"{'RMSE': 0.92575993373733323, 'MAE': 0.70998607725197938, 'FCP': 0.65262420389814912}"
6,0.9260263005339459,70,{'k': 70},"{'RMSE': 0.92602630053394586, 'MAE': 0.71013706032504798, 'FCP': 0.65262832977985918}"
7,0.9262892124599386,80,{'k': 80},"{'RMSE': 0.92628921245993856, 'MAE': 0.71031976409842768, 'FCP': 0.65240143975969389}"
8,0.9264914280128405,90,{'k': 90},"{'RMSE': 0.92649142801284046, 'MAE': 0.71051234361119742, 'FCP': 0.65268086201250086}"
9,0.9266143509789699,100,{'k': 100},"{'RMSE': 0.92661435097896994, 'MAE': 0.71062580742532955, 'FCP': 0.65216130016375096}"
