,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.598697438514,0.717005976513,0.930391197204,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.5986974385135323, 'MAE': 0.71700597651322395, 'RMSE': 0.9303911972037795}","{'name': 'cosine', 'user_based': True}"
1,0.606121042482,0.70592259393,0.918895981401,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.60612104248202303, 'MAE': 0.70592259392977041, 'RMSE': 0.9188959814011961}","{'name': 'cosine', 'user_based': True}"
2,0.60903707748,0.703011846839,0.916246497318,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.60903707747994074, 'MAE': 0.70301184683862694, 'RMSE': 0.91624649731763697}","{'name': 'cosine', 'user_based': True}"
3,0.610386211701,0.701816574007,0.915634123785,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.61038621170118135, 'MAE': 0.70181657400689534, 'RMSE': 0.9156341237849368}","{'name': 'cosine', 'user_based': True}"
4,0.610694619236,0.701334009098,0.915429627144,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.61069461923637902, 'MAE': 0.70133400909803179, 'RMSE': 0.91542962714350185}","{'name': 'cosine', 'user_based': True}"
5,0.610035493535,0.701242386844,0.91550990038,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.6100354935354011, 'MAE': 0.70124238684353302, 'RMSE': 0.91550990037981994}","{'name': 'cosine', 'user_based': True}"
6,0.610371375866,0.70123272207,0.915719882842,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.61037137586627854, 'MAE': 0.70123272206981313, 'RMSE': 0.91571988284161043}","{'name': 'cosine', 'user_based': True}"
7,0.610198051563,0.701287624123,0.915930199705,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.61019805156257179, 'MAE': 0.70128762412250734, 'RMSE': 0.9159301997050957}","{'name': 'cosine', 'user_based': True}"
8,0.609411374074,0.701449933085,0.916159236756,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.60941137407393575, 'MAE': 0.70144993308471881, 'RMSE': 0.91615923675557975}","{'name': 'cosine', 'user_based': True}"
9,0.609224212995,0.701534020547,0.916317312334,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.60922421299509644, 'MAE': 0.70153402054686742, 'RMSE': 0.91631731233444458}","{'name': 'cosine', 'user_based': True}"
10,0.625463368931,0.73291845337,0.955880520366,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.6254633689306075, 'MAE': 0.73291845336954431, 'RMSE': 0.95588052036579663}","{'name': 'cosine', 'user_based': False}"
11,0.632005493417,0.71903340777,0.937721715072,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.63200549341741252, 'MAE': 0.71903340777030689, 'RMSE': 0.93772171507224067}","{'name': 'cosine', 'user_based': False}"
12,0.634950608201,0.713144032816,0.931070214231,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.63495060820138094, 'MAE': 0.71314403281596395, 'RMSE': 0.93107021423111358}","{'name': 'cosine', 'user_based': False}"
13,0.637310353978,0.709707940061,0.926918120942,40,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 40, 'min_k': 5}","{'FCP': 0.63731035397789548, 'MAE': 0.70970794006113791, 'RMSE': 0.9269181209416878}","{'name': 'cosine', 'user_based': False}"
14,0.638238394131,0.707835482389,0.924417184681,50,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 50, 'min_k': 5}","{'FCP': 0.63823839413087191, 'MAE': 0.70783548238867444, 'RMSE': 0.92441718468141898}","{'name': 'cosine', 'user_based': False}"
15,0.639254219669,0.706637315328,0.922787759053,60,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 60, 'min_k': 5}","{'FCP': 0.63925421966923246, 'MAE': 0.70663731532782759, 'RMSE': 0.92278775905288979}","{'name': 'cosine', 'user_based': False}"
16,0.639598906035,0.705892071656,0.921795521997,70,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 70, 'min_k': 5}","{'FCP': 0.6395989060350582, 'MAE': 0.70589207165567824, 'RMSE': 0.92179552199744941}","{'name': 'cosine', 'user_based': False}"
17,0.640496431086,0.705316201809,0.921048404217,80,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 80, 'min_k': 5}","{'FCP': 0.64049643108615284, 'MAE': 0.70531620180859711, 'RMSE': 0.92104840421660528}","{'name': 'cosine', 'user_based': False}"
18,0.640855893274,0.704889195924,0.920566200691,90,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 90, 'min_k': 5}","{'FCP': 0.64085589327432579, 'MAE': 0.70488919592449506, 'RMSE': 0.92056620069073303}","{'name': 'cosine', 'user_based': False}"
19,0.641359547306,0.704641662609,0.920285016155,100,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 100, 'min_k': 5}","{'FCP': 0.64135954730563982, 'MAE': 0.70464166260861949, 'RMSE': 0.92028501615487812}","{'name': 'cosine', 'user_based': False}"
20,0.601884196113,0.710985118596,0.925253809984,10,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.60188419611334942, 'MAE': 0.71098511859613889, 'RMSE': 0.9252538099836084}","{'name': 'msd', 'user_based': True}"
21,0.610056025664,0.70168222995,0.915324251057,20,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.61005602566427442, 'MAE': 0.70168222995005247, 'RMSE': 0.91532425105734971}","{'name': 'msd', 'user_based': True}"
22,0.612821575278,0.699164238434,0.912935866066,30,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.6128215752784929, 'MAE': 0.69916423843402442, 'RMSE': 0.91293586606592014}","{'name': 'msd', 'user_based': True}"
23,0.612920839708,0.698455253459,0.912513390974,40,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.61292083970791711, 'MAE': 0.69845525345875337, 'RMSE': 0.91251339097382567}","{'name': 'msd', 'user_based': True}"
24,0.612457477806,0.698431953368,0.912663290157,50,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.61245747780606652, 'MAE': 0.6984319533677027, 'RMSE': 0.91266329015729331}","{'name': 'msd', 'user_based': True}"
25,0.612356150368,0.698452155708,0.912808561111,60,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.61235615036763347, 'MAE': 0.69845215570836072, 'RMSE': 0.91280856111113506}","{'name': 'msd', 'user_based': True}"
26,0.612292707205,0.698492302684,0.912966109763,70,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.61229270720460749, 'MAE': 0.6984923026839952, 'RMSE': 0.9129661097625561}","{'name': 'msd', 'user_based': True}"
27,0.611986739837,0.698680507596,0.913214274253,80,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.61198673983695906, 'MAE': 0.69868050759583178, 'RMSE': 0.91321427425285595}","{'name': 'msd', 'user_based': True}"
28,0.611825525669,0.698835468915,0.913404285644,90,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.61182552566949422, 'MAE': 0.69883546891506909, 'RMSE': 0.91340428564356435}","{'name': 'msd', 'user_based': True}"
29,0.611343332136,0.698972653722,0.913597044897,100,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.61134333213611769, 'MAE': 0.69897265372249895, 'RMSE': 0.91359704489728932}","{'name': 'msd', 'user_based': True}"
30,0.62198787257,0.723138586448,0.94202374807,10,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.62198787257045418, 'MAE': 0.72313858644843132, 'RMSE': 0.94202374806971212}","{'name': 'msd', 'user_based': False}"
31,0.630749682534,0.708198660336,0.924101133604,20,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.63074968253372565, 'MAE': 0.70819866033617562, 'RMSE': 0.92410113360408952}","{'name': 'msd', 'user_based': False}"
32,0.63448060577,0.703469537009,0.918640410209,30,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.63448060576996601, 'MAE': 0.70346953700892723, 'RMSE': 0.91864041020921017}","{'name': 'msd', 'user_based': False}"
33,0.637123543711,0.700876660109,0.915627657364,40,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 40, 'min_k': 5}","{'FCP': 0.63712354371110747, 'MAE': 0.70087666010908234, 'RMSE': 0.91562765736412943}","{'name': 'msd', 'user_based': False}"
34,0.639020274918,0.699530414963,0.914044029123,50,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 50, 'min_k': 5}","{'FCP': 0.63902027491757885, 'MAE': 0.6995304149630146, 'RMSE': 0.91404402912286353}","{'name': 'msd', 'user_based': False}"
35,0.640468411186,0.698505154855,0.912894312891,60,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 60, 'min_k': 5}","{'FCP': 0.64046841118635545, 'MAE': 0.69850515485545328, 'RMSE': 0.9128943128912439}","{'name': 'msd', 'user_based': False}"
36,0.641317511344,0.697863954317,0.912182820534,70,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 70, 'min_k': 5}","{'FCP': 0.64131751134442061, 'MAE': 0.69786395431664405, 'RMSE': 0.91218282053371413}","{'name': 'msd', 'user_based': False}"
37,0.642180185619,0.697619217036,0.911883629088,80,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 80, 'min_k': 5}","{'FCP': 0.64218018561934354, 'MAE': 0.6976192170364911, 'RMSE': 0.91188362908773191}","{'name': 'msd', 'user_based': False}"
38,0.642996443334,0.697325526697,0.91163130487,90,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 90, 'min_k': 5}","{'FCP': 0.64299644333369177, 'MAE': 0.69732552669734249, 'RMSE': 0.91163130487038746}","{'name': 'msd', 'user_based': False}"
39,0.64356783218,0.697151045759,0.911521629782,100,5,"{'sim_options': {'name': 'msd', 'user_based': False}, 'k': 100, 'min_k': 5}","{'FCP': 0.64356783218043467, 'MAE': 0.69715104575942255, 'RMSE': 0.91152162978152451}","{'name': 'msd', 'user_based': False}"
40,0.606215356395,0.710779251722,0.927955656061,10,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.6062153563945436, 'MAE': 0.71077925172157019, 'RMSE': 0.92795565606143593}","{'name': 'pearson', 'user_based': True}"
41,0.614274333136,0.700229104914,0.916552859595,20,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.61427433313593682, 'MAE': 0.70022910491378676, 'RMSE': 0.91655285959542265}","{'name': 'pearson', 'user_based': True}"
42,0.615197544383,0.697917752941,0.914097795061,30,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.61519754438335128, 'MAE': 0.69791775294108338, 'RMSE': 0.91409779506123523}","{'name': 'pearson', 'user_based': True}"
43,0.614910286841,0.697401250007,0.913607525766,40,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.61491028684085658, 'MAE': 0.69740125000655817, 'RMSE': 0.91360752576579518}","{'name': 'pearson', 'user_based': True}"
44,0.615073779612,0.697301043549,0.913532066357,50,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.6150737796117941, 'MAE': 0.69730104354929734, 'RMSE': 0.91353206635721285}","{'name': 'pearson', 'user_based': True}"
45,0.615045069728,0.697293872637,0.913559376393,60,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.61504506972827822, 'MAE': 0.69729387263721154, 'RMSE': 0.91355937639334717}","{'name': 'pearson', 'user_based': True}"
46,0.614777206613,0.697408994731,0.91369233424,70,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.61477720661310287, 'MAE': 0.69740899473094209, 'RMSE': 0.91369233424036922}","{'name': 'pearson', 'user_based': True}"
47,0.614696121754,0.697445143167,0.913730654144,80,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.61469612175383681, 'MAE': 0.69744514316659834, 'RMSE': 0.91373065414427934}","{'name': 'pearson', 'user_based': True}"
48,0.614637951104,0.697491478283,0.913776613535,90,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.61463795110413011, 'MAE': 0.69749147828251401, 'RMSE': 0.91377661353548745}","{'name': 'pearson', 'user_based': True}"
49,0.614582789451,0.697558392393,0.91383294529,100,5,"{'sim_options': {'name': 'pearson', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.61458278945131428, 'MAE': 0.69755839239250306, 'RMSE': 0.91383294528981407}","{'name': 'pearson', 'user_based': True}"
50,0.627875800537,0.728743956631,0.953743696352,10,5,"{'sim_options': {'name': 'pearson', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.62787580053731318, 'MAE': 0.72874395663050195, 'RMSE': 0.95374369635207523}","{'name': 'pearson', 'user_based': False}"
51,0.636018209368,0.714832007916,0.936660953003,20,5,"{'sim_options': {'name': 'pearson', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.63601820936753273, 'MAE': 0.71483200791642409, 'RMSE': 0.93666095300261054}","{'name': 'pearson', 'user_based': False}"
52,0.639518134376,0.709870988038,0.930981083442,30,5,"{'sim_options': {'name': 'pearson', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.63951813437619953, 'MAE': 0.70987098803754534, 'RMSE': 0.93098108344200514}","{'name': 'pearson', 'user_based': False}"
