,FCP,MAE,RMSE,k,min_k,params,scores,sim_options
0,0.599204943765,0.713718046136,0.931565240717,10,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.59920494376476774, 'MAE': 0.71371804613628131, 'RMSE': 0.93156524071744062}","{'name': 'cosine', 'user_based': True}"
1,0.60897022824,0.7009648239,0.916977296351,20,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.60897022824044733, 'MAE': 0.70096482389968817, 'RMSE': 0.91697729635114167}","{'name': 'cosine', 'user_based': True}"
2,0.611285580513,0.697243927495,0.913383224876,30,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.61128558051312287, 'MAE': 0.69724392749498709, 'RMSE': 0.91338322487607382}","{'name': 'cosine', 'user_based': True}"
3,0.611392440348,0.696112888042,0.91256647388,40,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.61139244034794782, 'MAE': 0.69611288804228233, 'RMSE': 0.91256647388000844}","{'name': 'cosine', 'user_based': True}"
4,0.611141928727,0.695847979473,0.912660377313,50,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 50, 'min_k': 5}","{'FCP': 0.61114192872651985, 'MAE': 0.69584797947271215, 'RMSE': 0.91266037731340544}","{'name': 'cosine', 'user_based': True}"
5,0.611027916511,0.695758913901,0.912779309029,60,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 60, 'min_k': 5}","{'FCP': 0.61102791651134802, 'MAE': 0.695758913900552, 'RMSE': 0.91277930902944582}","{'name': 'cosine', 'user_based': True}"
6,0.61046384282,0.695799629067,0.913010482905,70,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 70, 'min_k': 5}","{'FCP': 0.61046384281984933, 'MAE': 0.69579962906731541, 'RMSE': 0.91301048290497666}","{'name': 'cosine', 'user_based': True}"
7,0.610491799282,0.6959617291,0.913307151201,80,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 80, 'min_k': 5}","{'FCP': 0.61049179928229536, 'MAE': 0.69596172909987275, 'RMSE': 0.91330715120052497}","{'name': 'cosine', 'user_based': True}"
8,0.609900535708,0.696104145008,0.913495415961,90,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 90, 'min_k': 5}","{'FCP': 0.60990053570763081, 'MAE': 0.69610414500824525, 'RMSE': 0.9134954159608204}","{'name': 'cosine', 'user_based': True}"
9,0.610023677661,0.696282842729,0.913789972889,100,5,"{'sim_options': {'name': 'cosine', 'user_based': True}, 'k': 100, 'min_k': 5}","{'FCP': 0.61002367766123766, 'MAE': 0.69628284272946872, 'RMSE': 0.91378997288884656}","{'name': 'cosine', 'user_based': True}"
10,0.622463544347,0.736994002401,0.962465848932,10,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 10, 'min_k': 5}","{'FCP': 0.62246354434706908, 'MAE': 0.73699400240086654, 'RMSE': 0.96246584893205056}","{'name': 'cosine', 'user_based': False}"
11,0.631172608821,0.719902466571,0.941019933284,20,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 20, 'min_k': 5}","{'FCP': 0.63117260882099202, 'MAE': 0.71990246657133594, 'RMSE': 0.94101993328446876}","{'name': 'cosine', 'user_based': False}"
12,0.633826437072,0.714251396974,0.933855599102,30,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 30, 'min_k': 5}","{'FCP': 0.63382643707165465, 'MAE': 0.71425139697384488, 'RMSE': 0.93385559910176386}","{'name': 'cosine', 'user_based': False}"
13,0.635947425426,0.711319348688,0.930284816458,40,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 40, 'min_k': 5}","{'FCP': 0.6359474254257651, 'MAE': 0.71131934868795665, 'RMSE': 0.93028481645789418}","{'name': 'cosine', 'user_based': False}"
14,0.637379912762,0.709469054205,0.92803981535,50,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 50, 'min_k': 5}","{'FCP': 0.63737991276248973, 'MAE': 0.70946905420484163, 'RMSE': 0.92803981535047764}","{'name': 'cosine', 'user_based': False}"
15,0.637923176164,0.70868312217,0.926804676346,60,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 60, 'min_k': 5}","{'FCP': 0.63792317616392025, 'MAE': 0.70868312217017659, 'RMSE': 0.92680467634583064}","{'name': 'cosine', 'user_based': False}"
16,0.638742642514,0.707884952478,0.925863222462,70,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 70, 'min_k': 5}","{'FCP': 0.63874264251442137, 'MAE': 0.70788495247837502, 'RMSE': 0.92586322246234476}","{'name': 'cosine', 'user_based': False}"
17,0.63923020518,0.707369630923,0.925247315935,80,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 80, 'min_k': 5}","{'FCP': 0.63923020517953244, 'MAE': 0.70736963092295135, 'RMSE': 0.92524731593503762}","{'name': 'cosine', 'user_based': False}"
18,0.639652040775,0.707016302471,0.924872434978,90,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 90, 'min_k': 5}","{'FCP': 0.63965204077537907, 'MAE': 0.70701630247130687, 'RMSE': 0.92487243497774541}","{'name': 'cosine', 'user_based': False}"
19,0.640007822564,0.706644344799,0.924432267344,100,5,"{'sim_options': {'name': 'cosine', 'user_based': False}, 'k': 100, 'min_k': 5}","{'FCP': 0.64000782256408439, 'MAE': 0.70664434479920457, 'RMSE': 0.92443226734392925}","{'name': 'cosine', 'user_based': False}"
20,0.601554798982,0.7088368093,0.92745522962,10,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 10, 'min_k': 5}","{'FCP': 0.60155479898177189, 'MAE': 0.70883680929957116, 'RMSE': 0.9274552296195997}","{'name': 'msd', 'user_based': True}"
21,0.611573035706,0.697357530784,0.91421443905,20,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 20, 'min_k': 5}","{'FCP': 0.61157303570610189, 'MAE': 0.69735753078367224, 'RMSE': 0.91421443904989474}","{'name': 'msd', 'user_based': True}"
22,0.613498430191,0.694707444097,0.911538245449,30,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 30, 'min_k': 5}","{'FCP': 0.61349843019107875, 'MAE': 0.69470744409728935, 'RMSE': 0.91153824544853346}","{'name': 'msd', 'user_based': True}"
23,0.613666109927,0.693966873121,0.910984556363,40,5,"{'sim_options': {'name': 'msd', 'user_based': True}, 'k': 40, 'min_k': 5}","{'FCP': 0.613666109926853, 'MAE': 0.69396687312071514, 'RMSE': 0.9109845563625637}","{'name': 'msd', 'user_based': True}"
