Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
1,Samuel L. Jackson,"$5,149.1",73,$70.5,The Avengers,$623.4
2,Harrison Ford,"$4,962.7",42,$118.2,Star Wars: The Force Awakens,$936.7
3,Tom Hanks,"$4,522.9",47,$96.2,Toy Story 3,$415.0
4,Morgan Freeman,"$4,515.8",62,$72.8,The Dark Knight,$534.9
5,"Robert Downey, Jr.","$4,281.6",54,$79.3,The Avengers,$623.4
6,Eddie Murphy,"$3,811.1",39,$97.7,Shrek 2,$441.2
7,Tom Cruise,"$3,777.3",39,$96.9,War of the Worlds,$234.3
8,Stanley Tucci,"$3,758.1",52,$72.3,Beauty and the Beast,$504.0
9,Scarlett Johansson,"$3,674.9",40,$91.9,The Avengers,$623.4
10,Ian McKellen,"$3,654.4",32,$114.2,Beauty and the Beast,$504.0
11,Johnny Depp,"$3,628.1",47,$77.2,Dead Man's Chest,$423.3
12,Anthony Daniels,"$3,420.7",8,$427.6,Star Wars: The Force Awakens,$936.7
13,Michael Caine,"$3,396.5",59,$57.6,The Dark Knight,$534.9
14,Gary Oldman,"$3,377.8",41,$82.4,The Dark Knight,$534.9
15,Robin Williams,"$3,279.3",49,$66.9,Night at the Museum,$250.9
16,Robert DeNiro,"$3,233.7",81,$39.9,Meet the Fockers,$279.3
17,Emma Watson,"$3,206.4",18,$178.1,Beauty and the Beast,$504.0
18,Will Smith,"$3,205.0",25,$128.2,Suicide Squad,$325.1
19,Bruce Willis,"$3,189.4",60,$53.2,Sixth Sense,$293.5
20,Stellan Skarsgard,"$3,175.0",43,$73.8,The Avengers,$623.4
21,Matt Damon,"$3,164.5",41,$77.2,The Martian,$228.4
22,Cate Blanchett,"$3,097.4",42,$73.7,Return of the King,$377.8
23,Andy Serkis,"$3,037.5",24,$126.6,Star Wars: The Force Awakens,$936.7
24,Cameron Diaz,"$3,031.7",34,$89.2,Shrek 2,$441.2
25,Woody Harrelson,"$3,012.5",56,$53.8,Catching Fire,$424.7
26,Orlando Bloom,"$2,988.4",18,$166.0,Dead Man's Chest,$423.3
27,Steve Carell,"$2,987.5",29,$103.0,Despicable Me 2,$368.1
28,Idris Elba,"$2,959.4",30,$98.6,Avengers: Age of Ultron,$459.0
29,Liam Neeson,"$2,954.4",66,$44.8,The Phantom Menace,$474.5
30,Bradley Cooper,"$2,947.5",26,$113.4,Guardians of the Galaxy 2,$389.8
31,Ralph Fiennes,"$2,903.1",37,$78.5,Harry Potter / Deathly Hallows (P2),$381.0
32,Don Cheadle,"$2,885.5",34,$84.9,Avengers: Age of Ultron,$459.0
33,Julia Roberts,"$2,871.2",44,$65.3,Ocean's Eleven,$183.4
34,Owen Wilson,"$2,863.4",42,$68.2,Night at the Museum,$250.9
35,Mark Wahlberg,"$2,857.9",40,$71.4,Transformers 4,$245.4
36,Ben Stiller,"$2,829.1",38,$74.5,Meet the Fockers,$279.3
37,Helena Bonham Carter,"$2,822.0",36,$78.4,Harry Potter / Deathly Hallows (P2),$381.0
38,Vin Diesel,"$2,813.8",22,$127.9,Guardians of the Galaxy 2,$389.8
39,Elizabeth Banks,"$2,811.7",36,$78.1,Catching Fire,$424.7
40,Dwayne Johnson,"$2,807.4",26,$108.0,Furious 7,$353.0
41,Brad Pitt,"$2,721.1",42,$64.8,World War Z,$202.4
42,Tommy Lee Jones,"$2,693.1",46,$58.5,Men in Black,$250.7
43,Adam Sandler,"$2,661.0",32,$83.2,Hotel Transylvania 2,$169.7
44,Zoe Saldana,"$2,639.8",28,$94.3,Avatar,$760.5
45,Jeremy Renner,"$2,634.7",23,$114.6,The Avengers,$623.4
46,Daniel Radcliffe,"$2,634.4",17,$155.0,Harry Potter / Deathly Hallows (P2),$381.0
47,Jonah Hill,"$2,620.1",29,$90.3,The LEGO Movie,$257.8
48,Simon Pegg,"$2,620.1",20,$131.0,Star Wars: The Force Awakens,$936.7
49,Ewan McGregor,"$2,593.6",48,$54.0,Beauty and the Beast,$504.0
50,Tyrese Gibson,"$2,565.6",17,$150.9,Transformers 2,$402.1
51,Jim Carrey,"$2,545.4",28,$90.9,The Grinch,$260.0
52,Dustin Hoffman,"$2,522.1",43,$58.7,Meet the Fockers,$279.3
53,Leonardo DiCaprio,"$2,518.9",25,$100.8,Titanic,$659.2
54,Hugh Jackman,"$2,515.5",26,$96.7,X-Men: The Last Stand,$234.4
55,Michael Keaton,"$2,509.6",38,$66.0,Toy Story 3,$415.0
56,Ben Affleck,"$2,490.2",39,$63.9,Batman v Superman,$330.4
