Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
1,Steven Spielberg,"$4,451.4",31,$143.6,E.T.,$435.1
2,Michael Bay,"$2,326.5",13,$179.0,Transformers 2,$402.1
3,Peter Jackson,"$2,134.7",12,$177.9,Return of the King,$377.8
4,Robert Zemeckis,"$2,091.9",18,$116.2,Forrest Gump,$330.3
5,Christopher Nolan,"$2,004.6",11,$182.2,The Dark Knight,$534.9
6,James Cameron,"$1,975.9",9,$219.5,Avatar,$760.5
7,Ron Howard,"$1,896.0",24,$79.0,The Grinch,$260.0
8,Tim Burton,"$1,840.2",18,$102.2,Alice in Wonderland,$334.2
9,Clint Eastwood,"$1,816.0",34,$53.4,American Sniper,$350.1
10,Chris Columbus,"$1,750.3",15,$116.7,Harry Potter / Sorcerer's Stone,$317.6
11,George Lucas,"$1,743.9",6,$290.7,The Phantom Menace,$474.5
12,J.J. Abrams,"$1,684.2",5,$336.8,Star Wars: The Force Awakens,$936.7
13,Ridley Scott,"$1,636.0",23,$71.1,The Martian,$228.4
14,David Yates,"$1,631.6",6,$271.9,Harry Potter / Deathly Hallows (P2),$381.0
15,Gore Verbinski,"$1,529.4",10,$152.9,Dead Man's Chest,$423.3
16,Sam Raimi,"$1,526.7",14,$109.0,Spider-Man,$403.7
17,Lee Unkrich,"$1,447.3",5,$289.5,Toy Story 3,$415.0
18,Francis Lawrence,"$1,434.6",6,$239.1,Catching Fire,$424.7
19,Jon Favreau,"$1,334.5",8,$166.8,The Jungle Book,$364.0
20,Roland Emmerich,"$1,292.2",12,$107.7,Independence Day,$306.2
21,Zack Snyder,"$1,292.0",8,$161.5,Batman v Superman,$330.4
22,M. Night Shyamalan,"$1,233.4",11,$112.1,Sixth Sense,$293.5
23,Bill Condon,"$1,232.6",9,$137.0,Beauty and the Beast,$504.0
24,Pierre Coffin,"$1,220.1",4,$305.0,Despicable Me 2,$368.1
25,Chris Renaud,"$1,202.0",4,$300.5,The Secret Life of Pets,$368.4
26,Andrew Stanton,"$1,164.0",4,$291.0,Finding Dory,$486.3
27,Andrew Adamson,"$1,154.7",6,$192.5,Shrek 2,$441.2
28,Bryan Singer,"$1,142.2",9,$126.9,X-Men: Days of Future Past,$233.9
29,Richard Donner,"$1,139.1",16,$71.2,Lethal Weapon 2,$147.3
30,Brett Ratner,"$1,130.8",10,$113.1,X-Men: The Last Stand,$234.4
31,Shawn Levy,"$1,130.3",11,$102.8,Night at the Museum,$250.9
32,Joss Whedon,"$1,112.2",4,$278.1,The Avengers,$623.4
33,Ivan Reitman,"$1,099.6",15,$73.3,Ghostbusters,$242.2
34,Dennis Dugan,"$1,096.7",14,$78.3,Big Daddy,$163.5
35,Jay Roach,"$1,095.4",9,$121.7,Meet the Fockers,$279.3
36,Tony Scott,"$1,092.6",16,$68.3,Top Gun,$179.8
37,Barry Sonnenfeld,"$1,078.3",11,$98.0,Men in Black,$250.7
38,Steven Soderbergh,"$1,067.1",27,$39.5,Ocean's Eleven,$183.4
39,Todd Phillips,"$1,038.1",10,$103.8,The Hangover,$277.3
40,John Lasseter,"$1,036.0",5,$207.2,Toy Story 2,$245.9
41,Martin Scorsese,"$1,027.9",24,$42.8,The Departed,$132.4
42,Garry Marshall,"$1,023.4",18,$56.9,Pretty Woman,$178.4
43,Carlos Saldanha,$971.7,7,$138.8,Ice Age 3,$196.6
44,Joel Schumacher,$963.0,22,$43.8,Batman Forever,$184.0
45,Conrad Vernon,$953.7,4,$238.4,Shrek 2,$441.2
46,Pete Docter,$939.4,3,$313.1,Inside Out,$356.5
47,Tom McGrath,$913.4,5,$182.7,Madagascar 3,$216.4
48,Jon Turteltaub,$907.4,10,$90.7,National Treasure: Book of Secrets,$220.0
49,Tom Shadyac,$892.7,8,$111.6,Bruce Almighty,$242.8
50,Rob Minkoff,$867.2,7,$123.9,Lion King,$422.8
51,David Fincher,$865.2,10,$86.5,Gone Girl,$167.8
52,Tyler Perry,$863.9,17,$50.8,Madea Goes to Jail,$90.5
53,Justin Lin,$845.9,8,$105.7,Fast & Furious 6,$238.7
54,Sam Mendes,$834.0,7,$119.1,Skyfall,$304.4
55,Mike Mitchell,$829.7,7,$118.5,Shrek Forever After,$238.7
56,James Wan,$812.8,8,$101.6,Furious 7,$353.0
57,Barry Levinson,$812.7,22,$36.9,Rain Man,$172.8
58,Joe Johnston,$811.2,9,$90.1,Jurassic Park III,$181.2
59,Peter Segal,$804.2,9,$89.4,The Longest Yard,$158.1
60,Raja Gosnell,$803.0,9,$89.2,Scooby-Doo,$153.3
61,Brad Bird,$793.9,5,$158.8,The Incredibles,$261.4
