Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
1,Steven Spielberg,"$7,548.1",68,$111.0,Jurassic World,$652.3
2,Kevin Feige,"$7,209.9",30,$240.3,The Avengers,$623.4
3,Stan Lee,"$6,907.3",34,$203.2,The Avengers,$623.4
4,Kathleen Kennedy,"$6,906.6",59,$117.1,Star Wars: The Force Awakens,$936.7
5,Thomas Tull,"$5,694.7",38,$149.9,Jurassic World,$652.3
6,Frank Marshall,"$5,435.7",58,$93.7,Jurassic World,$652.3
7,Arnon Milchan,"$4,977.2",118,$42.2,Alvin and the Chipmunks 2,$219.6
8,Jerry Bruckheimer,"$4,892.4",44,$111.2,Dead Man's Chest,$423.3
9,Brian Grazer,"$4,150.0",65,$63.8,The Grinch,$260.0
10,Scott Rudin,"$4,072.0",88,$46.3,True Grit,$171.2
11,Roger Birnbaum,"$4,040.5",78,$51.8,Bruce Almighty,$242.8
12,John Lasseter,"$3,978.7",21,$189.5,Toy Story 3,$415.0
13,Neal H. Moritz,"$3,976.8",48,$82.8,Furious 7,$353.0
14,Joel Silver,"$3,692.1",69,$53.5,The Matrix Reloaded,$281.6
15,Avi Arad,"$3,656.6",23,$159.0,Spider-Man,$403.7
16,Ian Bryce,"$3,598.2",23,$156.4,Spider-Man,$403.7
17,Louis D'Esposito,"$3,559.7",12,$296.6,The Avengers,$623.4
18,George Lucas,"$3,406.3",22,$154.8,The Phantom Menace,$474.5
19,Gary Barber,"$3,233.3",68,$47.5,Bruce Almighty,$242.8
20,Jon Jashni,"$3,052.7",30,$101.8,Jurassic World,$652.3
21,Christopher Meledandri,"$2,985.5",17,$175.6,The Secret Life of Pets,$368.4
22,Alan Fine,"$2,960.8",9,$329.0,The Avengers,$623.4
23,Charles Roven,"$2,873.3",24,$119.7,The Dark Knight Rises,$448.1
24,David Heyman,"$2,855.5",15,$190.4,Harry Potter / Deathly Hallows (P2),$381.0
