Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
1,George Lucas,"$3,392.2",16,$212.0,The Phantom Menace,$474.5
2,Terry Rossio,"$2,567.6",17,$151.0,Dead Man's Chest,$423.3
3,Ted Elliott,"$2,503.5",16,$156.5,Dead Man's Chest,$423.3
4,Andrew Stanton,"$2,469.4",9,$274.4,Finding Dory,$486.3
5,Steve Kloves,"$2,413.7",12,$201.1,Harry Potter / Deathly Hallows (P2),$381.0
6,David Koepp,"$2,335.4",23,$101.5,Spider-Man,$403.7
7,David S. Goyer,"$2,249.8",17,$132.3,The Dark Knight,$534.9
8,Christopher Nolan,"$2,228.2",10,$222.8,The Dark Knight,$534.9
9,Lawrence Kasdan,"$2,164.8",15,$144.3,Star Wars: The Force Awakens,$936.7
10,Philippa Boyens,"$2,114.6",8,$264.3,Return of the King,$377.8
11,James Cameron,"$2,108.3",9,$234.3,Avatar,$760.5
12,Fran Walsh,"$2,072.4",11,$188.4,Two Towers,$342.6
13,Michael Arndt,"$1,925.3",5,$385.1,Star Wars: The Force Awakens,$936.7
14,Ken Daurio,"$1,919.0",10,$191.9,The Secret Life of Pets,$368.4
15,Cinco Paul,"$1,919.0",10,$191.9,The Secret Life of Pets,$368.4
16,Alex Kurtzman,"$1,739.7",10,$174.0,Transformers 2,$402.1
17,Roberto Orci,"$1,739.7",10,$174.0,Transformers 2,$402.1
18,Akiva Goldsman,"$1,738.5",15,$115.9,I Am Legend,$256.4
19,John Hughes,"$1,698.4",32,$53.1,Home Alone,$285.8
20,Stephen McFeely,"$1,640.9",10,$164.1,Captain America 3,$408.1
21,Christopher Markus,"$1,640.9",9,$182.3,Captain America 3,$408.1
22,Pete Docter,"$1,600.8",6,$266.8,Inside Out,$356.5
23,Tony Gilroy,"$1,597.1",13,$122.9,Rogue One,$532.2
24,J.J. Abrams,"$1,560.0",9,$173.3,Star Wars: The Force Awakens,$936.7
25,Chris Sanders,"$1,530.3",7,$218.6,Lion King,$422.8
26,Joss Whedon,"$1,513.0",10,$151.3,The Avengers,$623.4
27,John Lasseter,"$1,451.0",6,$241.8,Toy Story 3,$415.0
28,John Logan,"$1,443.4",15,$96.2,Skyfall,$304.4
29,Ehren Kruger,"$1,438.2",12,$119.9,Transformers 2,$402.1
30,Melissa Rosenberg,"$1,428.9",6,$238.1,The Twilight Saga: Eclipse,$300.5
31,M. Night Shyamalan,"$1,407.0",13,$108.2,Sixth Sense,$293.5
32,Sylvester Stallone,"$1,404.0",22,$63.8,Rambo: First Blood Part II,$150.4
33,Jonathan Aibel,"$1,392.0",8,$174.0,Alvin and the Chipmunks 2,$219.6
34,Glenn Berger,"$1,392.0",8,$174.0,Alvin and the Chipmunks 2,$219.6
35,Linda Woolverton,"$1,337.1",7,$191.0,Lion King,$422.8
36,Simon Kinberg,"$1,274.5",10,$127.5,X-Men: The Last Stand,$234.4
37,Steven Zaillian,"$1,233.7",16,$77.1,Mission: Impossible,$181.0
38,Jeff Nathanson,"$1,225.6",10,$122.6,Indiana Jones 4,$317.1
39,Chris Morgan,"$1,224.0",8,$153.0,Furious 7,$353.0
40,Alvin Sargent,"$1,209.9",13,$93.1,Spider-Man 2,$373.6
41,Amanda Silver,"$1,186.4",6,$197.7,Jurassic World,$652.3
42,Zak Penn,"$1,186.4",10,$118.6,The Avengers,$623.4
43,Guillermo del Toro,"$1,173.7",13,$90.3,The Hobbit,$303.0
44,Robert Mark Kamen,"$1,099.3",18,$61.1,Taken,$145.0
45,Rick Jaffa,"$1,098.4",5,$219.7,Jurassic World,$652.3
46,Harold Ramis,"$1,089.1",16,$68.1,Ghostbusters,$242.2
47,Chris Weitz,"$1,088.8",7,$155.5,Rogue One,$532.2
48,David N. Weiss,"$1,084.5",11,$98.6,Shrek 2,$441.2
49,Steve Oedekerk,"$1,063.2",12,$88.6,Bruce Almighty,$242.8
50,J. David Stem,"$1,045.7",9,$116.2,Shrek 2,$441.2
51,James Gunn,"$1,027.7",8,$128.5,Guardians of the Galaxy 2,$389.8
52,Adam Sandler,"$1,020.4",11,$92.8,Hotel Transylvania 2,$169.7
53,Brian Helgeland,"$1,015.8",20,$50.8,Salt,$118.3
54,Dan Fogelman,"$1,013.5",9,$112.6,Cars,$244.1
55,Scott Frank,$983.1,15,$65.5,Logan,$226.3
56,Tim Herlihy,$957.9,10,$95.8,Big Daddy,$163.5
57,Neal Purvis,$956.7,9,$106.3,Skyfall,$304.4
58,Robert Wade,$956.7,9,$106.3,Skyfall,$304.4
59,Luc Besson,$919.7,28,$32.8,Taken,$145.0
60,Adam McKay,$894.3,8,$111.8,Ant-Man,$180.2
61,David Ayer,$890.2,10,$89.0,Suicide Squad,$325.1
62,Bob Peterson,$880.3,3,$293.4,Finding Nemo,$380.8
63,Tyler Perry,$862.8,17,$50.8,Madea Goes to Jail,$90.5
64,Mark Bomback,$832.4,9,$92.5,Dawn of the Planet of the Apes,$208.5
65,Eric Roth,$827.1,14,$59.1,Forrest Gump,$330.3
66,Leslie Dixon,$825.9,13,$63.5,Mrs. Doubtfire,$219.2
67,Stuart Beattie,$818.8,8,$102.3,Dead Man's Chest,$423.3
68,Peter Jackson,$816.5,3,$272.2,The Hobbit,$303.0
69,Craig Mazin,$804.5,9,$89.4,The Hangover Part II,$254.5
